,A,B,C,D
17175,0,1,1,1
17176,0,0,1,1
17177,1,0,0,0
17178,0,1,1,1
17179,1,1,0,0
17180,0,0,1,1
17181,0,1,1,1
17182,1,0,1,1
17183,1,1,1,1
17184,0,0,1,1
17185,0,1,0,1
17186,1,0,0,1
17187,1,1,1,1
17188,1,1,1,1
17189,0,0,0,1
17190,1,1,0,1
17191,0,0,0,1
17192,0,1,0,1
17193,0,0,1,0
17194,0,0,0,1
17195,1,0,0,0
17196,0,1,0,1
17197,0,0,1,1
17198,0,1,1,1
17199,0,1,0,0
17200,0,0,1,1
17201,0,1,0,0
17202,0,0,0,1
17203,0,0,1,1
17204,1,0,1,1
17205,0,1,0,0
17206,0,0,0,1
17207,1,0,0,1
17208,1,0,1,0
17209,0,1,0,0
17210,1,1,1,1
17211,0,0,0,0
17212,1,0,0,1
17213,0,1,1,1
17214,1,0,0,1
17215,1,0,1,1
17216,0,1,0,1
17217,1,1,1,1
17218,1,1,0,0
17219,1,1,1,1
17220,0,1,1,1
17221,0,0,0,0
17222,0,0,0,0
17223,1,1,1,1
17224,0,1,0,1
17225,1,1,0,0
17226,0,0,0,0
17227,0,0,0,1
17228,1,1,0,1
17229,0,0,0,0
17230,1,0,0,0
17231,1,0,1,1
17232,1,1,0,1
17233,0,0,0,0
17234,1,1,1,1
17235,0,1,1,0
17236,0,0,0,1
17237,1,0,0,0
17238,0,0,1,1
17239,0,0,0,1
17240,0,1,0,0
17241,0,1,1,1
17242,1,0,1,1
17243,1,0,0,1
17244,1,0,1,1
17245,0,1,1,1
17246,1,1,1,1
17247,1,0,0,0
17248,0,1,0,1
17249,1,0,1,1
17250,1,1,0,1
17251,0,0,1,1
17252,1,0,1,1
17253,1,0,1,1
17254,0,1,0,0
17255,1,0,1,1
17256,1,1,0,0
17257,1,1,1,1
17258,0,0,1,1
17259,1,0,1,1
17260,1,0,1,1
17261,0,1,0,1
17262,0,1,0,0
17263,0,1,1,1
17264,1,1,0,0
17265,1,1,1,1
17266,1,0,1,1
17267,0,1,1,1
17268,0,0,0,0
17269,0,1,1,1
17270,1,1,0,0
17271,0,0,0,1
17272,1,0,0,1
17273,1,1,1,1
17274,0,0,0,0
17275,0,0,0,1
17276,0,1,1,1
17277,1,1,1,1
17278,1,0,1,0
17279,1,1,0,1
17280,0,1,1,1
17281,1,0,1,1
17282,1,0,1,0
17283,0,1,0,1
17284,1,1,1,1
17285,1,0,0,0
17286,0,1,1,0
17287,1,0,0,1
17288,0,1,0,0
17289,0,0,1,1
17290,0,1,0,1
17291,1,1,1,1
17292,1,1,1,1
17293,0,0,0,1
17294,1,1,1,1
17295,1,1,1,1
17296,0,1,1,0
17297,1,0,0,1
17298,1,1,1,1
17299,1,1,1,1
17300,1,1,0,1
17301,1,1,1,0
17302,0,0,0,0
17303,0,0,0,0
17304,1,0,0,1
17305,1,1,1,1
17306,0,1,0,0
17307,1,0,0,1
17308,0,0,0,1
17309,0,0,1,1
17310,1,1,1,1
17311,1,0,0,0
17312,0,1,0,0
17313,0,0,1,1
17314,0,1,0,1
17315,0,0,0,0
17316,0,1,0,0
17317,1,0,0,1
17318,1,0,0,0
17319,0,0,0,1
17320,1,0,0,0
17321,0,1,1,1
17322,1,1,0,0
17323,1,1,1,1
17324,1,0,1,1
17325,0,0,0,1
17326,0,0,0,0
17327,1,0,0,1
17328,0,1,1,1
17329,1,0,0,1
17330,1,0,1,1
17331,1,0,0,1
17332,0,1,1,1
17333,0,0,1,0
17334,0,1,0,1
17335,1,1,1,1
17336,0,0,0,0
17337,1,0,1,1
17338,0,0,0,0
17339,1,0,0,1
17340,1,1,0,1
17341,1,0,1,1
17342,1,0,0,1
17343,0,0,0,1
17344,0,1,1,1
17345,1,1,0,1
17346,1,0,1,1
17347,1,1,0,1
17348,0,1,0,1
17349,0,0,0,0
17350,0,1,0,1
17351,0,1,1,1
17352,1,1,1,1
17353,0,1,0,0
17354,1,1,1,1
17355,0,1,1,1
17356,1,1,1,1
17357,1,0,0,0
17358,0,0,1,1
17359,0,1,0,1
17360,1,0,1,1
17361,0,1,1,1
17362,1,0,1,1
17363,1,1,0,0
17364,0,0,1,1
17365,1,0,0,1
17366,1,1,0,1
17367,0,0,1,1
17368,1,0,1,1
17369,1,1,1,1
17370,1,1,0,1
17371,1,1,0,1
17372,0,0,1,1
17373,1,0,1,1
17374,1,0,1,1
17375,0,0,1,1
17376,0,1,0,0
17377,0,1,1,1
17378,0,0,0,1
17379,0,0,0,1
17380,0,1,0,1
17381,0,0,1,1
17382,1,0,0,1
17383,1,1,0,1
17384,1,0,1,1
17385,1,1,0,0
17386,0,0,0,1
17387,0,1,1,1
17388,1,0,1,1
17389,1,1,1,1
17390,0,0,0,1
17391,1,1,0,1
17392,1,0,1,1
17393,1,0,1,1
17394,1,1,0,1
17395,0,0,1,1
17396,1,1,0,1
17397,0,0,0,0
17398,1,1,0,1
17399,1,0,1,1
17400,1,0,0,1
17401,1,1,1,0
17402,1,1,1,1
17403,0,0,1,1
17404,0,1,0,1
17405,0,0,1,1
17406,0,1,0,0
17407,1,0,0,1
17408,1,0,1,1
17409,0,1,1,1
17410,0,1,1,0
17411,0,0,0,1
17412,0,0,1,1
17413,1,0,1,1
17414,0,0,0,1
17415,1,0,0,1
17416,0,0,1,1
17417,1,1,1,1
17418,1,0,1,1
17419,1,0,0,1
17420,1,1,0,1
17421,0,1,0,0
17422,0,0,0,0
17423,1,1,0,1
17424,1,0,0,1
17425,0,1,0,1
17426,0,1,0,0
17427,0,1,1,1
17428,1,0,1,1
17429,1,0,1,1
17430,1,1,1,1
17431,0,1,0,0
17432,1,1,0,1
17433,1,0,1,1
17434,0,1,1,1
17435,0,1,1,1
17436,1,1,0,1
17437,1,1,1,1
17438,0,0,1,1
17439,0,0,0,1
17440,1,1,1,1
17441,1,0,1,1
17442,0,0,0,0
17443,1,0,0,1
17444,1,0,1,1
17445,0,0,0,1
17446,0,1,0,0
17447,0,1,1,1
17448,0,0,0,1
17449,0,0,1,1
17450,1,1,1,1
17451,1,1,0,1
17452,1,1,1,1
17453,1,1,1,1
17454,0,1,1,0
17455,1,0,0,0
17456,1,1,1,1
17457,1,1,0,0
17458,0,0,1,1
17459,1,1,1,1
17460,0,0,0,1
17461,1,0,0,0
17462,1,1,0,1
17463,1,0,0,0
17464,0,0,1,1
17465,1,1,1,1
17466,0,1,0,0
17467,0,1,0,1
17468,1,0,1,1
17469,1,0,1,1
17470,1,1,0,0
17471,0,0,1,1
17472,1,1,0,1
17473,1,0,1,1
17474,1,0,1,1
17475,0,1,0,1
17476,1,0,1,1
17477,1,1,1,1
17478,1,1,0,1
17479,1,0,1,1
17480,0,0,0,1
17481,1,1,0,1
17482,0,0,0,0
17483,1,1,1,1
17484,1,0,1,1
17485,0,1,0,0
17486,0,1,0,1
17487,0,0,1,1
17488,1,1,1,1
17489,0,1,1,1
17490,1,1,0,1
17491,1,1,1,1
17492,0,1,0,1
17493,1,0,0,1
17494,1,0,1,1
17495,0,0,0,1
17496,1,1,0,1
17497,0,0,1,1
17498,0,1,0,0
17499,1,0,1,1
17500,0,1,0,0
17501,0,0,1,1
17502,1,0,1,0
17503,0,0,1,1
17504,1,0,0,1
17505,0,0,1,0
17506,1,0,0,1
17507,0,1,0,0
17508,0,0,1,1
17509,0,1,0,1
17510,0,1,0,0
17511,0,0,1,1
17512,1,1,1,1
17513,1,0,0,0
17514,0,1,0,0
17515,1,1,0,1
17516,1,0,1,1
17517,1,0,1,1
17518,1,0,1,1
17519,0,1,1,1
17520,0,1,0,1
17521,0,1,1,1
17522,1,0,0,1
17523,1,1,0,1
17524,0,1,0,0
17525,0,0,1,1
17526,0,0,0,0
17527,1,1,0,0
17528,1,0,0,1
17529,1,1,0,1
17530,1,1,0,1
17531,1,0,0,1
17532,0,0,0,0
17533,0,1,1,1
17534,0,1,0,0
17535,1,1,1,1
17536,1,0,0,1
17537,1,0,1,1
17538,1,0,1,1
17539,1,1,1,1
17540,0,0,0,1
17541,1,0,0,1
17542,1,0,0,1
17543,1,0,1,1
17544,1,0,1,1
17545,0,1,0,0
17546,0,0,0,1
17547,0,0,1,1
17548,1,0,0,1
17549,1,1,0,1
17550,0,0,0,0
17551,1,0,0,1
17552,1,0,1,1
17553,0,1,1,1
17554,0,1,1,0
17555,1,0,1,1
17556,0,1,1,0
17557,1,1,1,0
17558,1,1,1,1
17559,1,1,0,1
17560,1,0,0,1
17561,1,0,1,1
17562,1,0,1,1
17563,1,1,1,1
17564,1,0,0,1
17565,0,1,1,1
17566,0,0,1,1
17567,0,0,1,1
17568,1,1,0,1
17569,1,0,0,1
17570,1,1,1,1
17571,0,1,0,0
17572,1,0,1,1
17573,0,0,1,1
17574,1,1,1,1
17575,1,1,0,1
17576,1,0,1,1
17577,0,0,0,0
17578,1,0,1,1
17579,1,1,0,0
17580,0,1,0,1
17581,1,1,0,0
17582,0,1,1,1
17583,0,1,1,0
17584,0,0,1,1
17585,0,0,0,1
17586,0,1,1,1
17587,1,0,0,1
17588,1,1,0,1
17589,0,1,0,0
17590,1,0,0,1
17591,1,0,0,0
17592,1,0,0,1
17593,1,1,1,1
17594,1,0,1,1
17595,0,1,0,1
17596,0,1,0,0
17597,1,0,1,1
17598,1,1,1,1
17599,1,0,0,1
17600,0,1,1,1
17601,1,0,1,1
17602,0,0,1,1
17603,1,1,1,1
17604,0,0,0,1
17605,0,1,1,1
17606,0,1,0,0
17607,1,1,1,1
17608,0,1,0,0
17609,0,0,0,0
17610,1,1,1,0
17611,0,0,1,1
17612,1,0,1,1
17613,1,1,1,1
17614,1,0,0,1
17615,1,1,1,1
17616,0,1,1,1
17617,0,1,0,1
17618,0,0,0,1
17619,1,0,1,1
17620,0,1,1,1
17621,0,1,1,1
17622,0,0,1,1
17623,0,0,0,0
17624,0,1,0,0
17625,0,1,1,1
17626,0,0,1,0
17627,0,0,0,0
17628,1,1,0,1
17629,1,1,0,1
17630,1,1,1,1
17631,0,0,0,0
17632,1,0,1,1
17633,0,0,1,1
17634,0,0,0,1
17635,1,1,0,1
17636,0,0,1,1
17637,1,1,1,1
17638,1,1,0,1
17639,1,1,1,1
17640,0,0,1,1
17641,0,0,1,1
17642,0,1,0,0
17643,0,1,1,1
17644,0,0,0,1
17645,1,1,1,1
17646,0,0,1,1
17647,0,1,0,1
17648,0,1,0,0
17649,0,0,0,1
17650,1,1,0,1
17651,0,0,1,1
17652,0,1,0,0
17653,1,1,0,1
17654,0,0,0,1
17655,0,0,0,1
17656,0,1,1,1
17657,1,0,1,1
17658,1,0,1,1
17659,0,0,1,0
17660,0,0,1,0
17661,0,0,1,1
17662,0,0,1,1
17663,1,0,1,1
17664,0,1,1,1
17665,0,0,0,1
17666,1,0,0,0
17667,1,1,1,1
17668,0,0,0,1
17669,1,1,1,0
17670,1,0,1,1
17671,1,0,0,1
17672,1,0,0,0
17673,1,1,0,1
17674,0,0,1,1
17675,0,0,0,0
17676,0,0,1,1
17677,1,0,1,1
17678,1,1,0,1
17679,1,0,1,1
17680,1,0,1,1
17681,1,0,0,1
17682,0,1,0,1
17683,1,1,0,0
17684,0,1,1,1
17685,0,0,1,1
17686,1,1,1,1
17687,0,0,1,1
17688,1,1,1,1
17689,0,1,0,0
17690,0,0,0,0
17691,0,1,1,0
17692,1,1,1,1
17693,0,1,1,1
17694,0,0,1,0
17695,1,1,1,1
17696,1,0,0,1
17697,1,1,1,1
17698,0,0,1,1
17699,1,0,1,1
17700,1,0,0,1
17701,0,0,1,0
17702,1,0,1,1
17703,0,0,0,1
17704,0,0,0,1
17705,1,0,0,1
17706,1,0,0,1
17707,1,0,0,1
17708,1,1,0,0
17709,0,1,1,1
17710,0,0,0,0
17711,1,0,1,1
17712,0,1,0,0
17713,1,0,1,1
17714,1,1,1,1
17715,1,1,1,1
17716,0,0,1,1
17717,0,1,0,0
17718,1,0,0,1
17719,0,0,0,0
17720,1,0,1,1
17721,0,0,0,0
17722,1,1,0,0
17723,1,1,1,1
17724,1,0,0,1
17725,1,0,0,1
17726,0,0,1,1
17727,0,0,0,1
17728,0,0,0,0
17729,1,0,0,0
17730,1,1,0,1
17731,1,0,0,1
17732,1,1,1,1
17733,0,1,0,1
17734,0,1,1,1
17735,1,1,1,1
17736,1,1,0,1
17737,1,1,0,1
17738,1,1,0,0
17739,1,1,0,1
17740,0,1,1,1
17741,0,0,1,0
17742,1,0,0,1
17743,1,0,0,0
17744,1,0,0,0
17745,1,0,1,1
17746,0,0,1,0
17747,1,0,1,1
17748,1,1,1,1
17749,0,1,0,0
17750,0,0,0,0
17751,1,1,0,1
17752,0,0,0,0
17753,1,0,1,1
17754,1,1,0,0
17755,0,0,0,1
17756,1,1,0,1
17757,1,1,1,1
17758,1,0,1,1
17759,0,0,0,1
17760,1,0,0,1
17761,0,0,0,1
17762,1,1,1,1
17763,1,1,1,1
17764,0,1,0,0
17765,0,1,1,1
17766,1,0,1,1
17767,0,0,1,1
17768,1,1,1,0
17769,1,0,0,1
17770,1,0,1,1
17771,1,0,0,1
17772,1,0,1,1
17773,0,0,1,1
17774,0,0,0,1
17775,1,0,1,1
17776,0,1,1,0
17777,0,1,0,1
17778,1,1,0,1
17779,1,1,1,1
17780,1,1,0,1
17781,0,1,0,0
17782,0,0,0,1
17783,1,0,1,1
17784,0,0,0,0
17785,0,1,1,1
17786,1,1,0,1
17787,0,0,1,1
17788,0,0,0,1
17789,1,1,1,0
17790,0,0,0,1
17791,1,1,0,1
17792,1,1,1,1
17793,1,0,1,1
17794,0,0,0,1
17795,0,1,1,1
17796,0,1,0,0
17797,1,0,1,1
17798,1,1,0,1
17799,1,1,0,0
17800,1,1,0,1
17801,0,1,1,1
17802,1,1,1,1
17803,0,0,1,0
17804,1,1,0,1
17805,0,0,1,1
17806,0,1,1,1
17807,0,1,0,1
17808,0,0,0,0
17809,0,0,1,1
17810,1,1,0,1
17811,1,0,1,1
17812,0,0,0,1
17813,1,1,0,1
17814,1,1,0,1
17815,0,1,1,1
17816,1,1,1,1
17817,0,1,0,1
17818,0,0,0,0
17819,1,1,1,1
17820,1,0,1,1
17821,1,0,0,1
17822,0,0,0,0
17823,1,1,0,1
17824,1,1,1,1
17825,1,1,1,1
17826,1,1,0,0
17827,0,0,1,1
17828,1,0,0,0
17829,0,1,1,1
17830,1,0,0,1
17831,0,0,0,0
17832,0,1,0,1
17833,0,1,1,1
17834,0,0,1,1
17835,1,1,1,1
17836,1,1,1,1
17837,1,0,0,0
17838,0,1,1,1
17839,1,0,1,1
17840,1,1,0,1
17841,1,1,0,0
17842,1,0,0,0
17843,1,1,1,1
17844,1,1,1,1
17845,0,0,1,1
17846,0,1,0,0
17847,1,0,1,1
17848,1,0,0,0
17849,0,0,1,1
17850,1,1,1,1
17851,1,1,0,1
17852,1,1,0,0
17853,0,0,1,1
17854,1,0,1,1
17855,1,1,0,0
17856,0,0,0,1
17857,0,0,1,1
17858,0,0,1,1
17859,1,1,0,1
17860,0,0,0,0
17861,1,0,1,1
17862,1,1,0,0
17863,1,0,0,1
17864,0,0,1,1
17865,0,0,1,1
17866,1,1,0,1
17867,1,1,1,1
17868,1,1,0,1
17869,1,0,0,0
17870,1,1,1,1
17871,0,1,0,0
17872,0,0,1,1
17873,1,1,1,1
17874,1,0,0,0
17875,1,0,1,0
17876,1,0,1,1
17877,0,0,1,1
17878,1,0,0,1
17879,0,1,0,1
17880,1,1,0,1
17881,0,0,0,0
17882,0,0,0,1
17883,0,1,1,1
17884,0,1,1,0
17885,0,1,1,1
17886,1,1,1,1
17887,1,0,0,0
17888,1,1,1,1
17889,0,1,1,1
17890,0,0,1,1
17891,0,1,0,1
17892,1,1,1,1
17893,1,0,1,0
17894,1,1,1,1
17895,1,1,1,0
17896,1,0,1,1
17897,1,1,0,1
17898,1,0,0,0
17899,0,1,1,1
17900,0,1,0,0
17901,0,0,1,1
17902,0,1,0,0
17903,1,0,0,1
17904,1,1,1,1
17905,1,0,1,1
17906,0,0,0,0
17907,1,0,1,0
17908,1,0,0,1
17909,1,0,0,1
17910,1,0,0,1
17911,1,0,0,1
17912,1,1,1,1
17913,1,1,0,1
17914,0,1,0,1
17915,1,0,0,1
17916,0,1,0,1
17917,0,0,1,1
17918,0,1,1,1
17919,1,0,0,1
17920,0,1,1,0
17921,0,0,1,1
17922,0,0,0,0
17923,0,1,1,1
17924,1,1,0,1
17925,0,1,0,1
17926,0,0,1,1
17927,1,1,1,1
17928,1,0,1,1
17929,1,0,1,1
17930,1,0,0,0
17931,0,1,0,0
17932,0,1,0,0
17933,0,1,0,0
17934,1,1,0,0
17935,1,0,0,1
17936,0,1,0,1
17937,1,0,0,1
17938,0,1,1,1
17939,0,0,0,0
17940,0,1,1,1
17941,0,0,1,1
17942,0,1,1,1
17943,1,0,1,1
17944,1,0,0,1
17945,1,1,1,1
17946,1,0,0,1
17947,0,0,1,1
17948,1,0,1,1
17949,0,1,0,1
17950,1,0,1,1
17951,0,0,0,0
17952,0,1,0,0
17953,0,0,0,0
17954,1,0,0,0
17955,1,0,1,1
17956,1,0,1,1
17957,0,1,0,0
17958,0,1,1,1
17959,1,1,1,0
17960,1,1,1,1
17961,0,1,1,1
17962,0,0,0,1
17963,1,1,0,1
17964,1,0,1,1
17965,1,0,1,1
17966,1,1,1,1
17967,1,1,1,1
17968,0,0,1,1
17969,0,1,0,0
17970,0,0,1,1
17971,1,0,0,1
17972,1,1,1,1
17973,0,0,0,1
17974,0,1,0,1
17975,1,0,0,1
17976,1,0,0,0
17977,1,1,1,1
17978,0,1,1,1
17979,1,0,0,1
17980,0,1,0,0
17981,1,0,0,1
17982,0,1,0,1
17983,0,1,1,1
17984,1,0,1,1
17985,0,1,0,1
17986,1,1,1,1
17987,1,0,1,1
17988,0,1,0,0
17989,1,0,1,1
17990,1,1,0,1
17991,0,1,0,0
17992,0,1,1,1
17993,1,0,0,1
17994,0,1,1,1
17995,0,1,1,1
17996,0,0,1,1
17997,1,0,1,1
17998,1,1,1,1
17999,0,1,0,1
18000,1,0,1,0
18001,0,0,1,1
18002,1,1,0,1
18003,1,0,1,0
18004,1,1,1,1
18005,0,1,0,1
18006,1,0,0,1
18007,1,1,0,1
18008,0,1,0,1
18009,0,1,1,0
18010,0,0,0,1
18011,1,0,0,1
18012,0,0,0,0
18013,1,1,1,1
18014,0,0,1,1
18015,1,1,0,1
18016,0,0,0,0
18017,1,1,0,1
18018,0,0,1,1
18019,0,0,0,0
18020,0,1,1,1
18021,0,0,1,1
18022,0,1,0,0
18023,0,1,1,1
18024,0,0,1,1
18025,1,1,0,0
18026,0,0,0,0
18027,1,1,1,1
18028,0,0,1,1
18029,1,1,1,1
18030,1,0,0,1
18031,0,1,0,1
18032,0,1,0,1
18033,1,1,0,0
18034,1,0,0,1
18035,0,1,1,1
18036,1,0,0,0
18037,1,0,0,1
18038,0,1,1,0
18039,1,0,1,1
18040,1,0,0,1
18041,1,0,1,1
18042,0,1,1,1
18043,1,0,1,1
18044,1,0,0,0
18045,0,1,0,0
18046,1,1,1,1
18047,1,0,1,1
18048,0,1,0,0
18049,1,0,1,1
18050,0,1,1,0
18051,0,0,0,1
18052,1,1,1,1
18053,1,0,0,1
18054,1,1,0,1
18055,0,0,0,1
18056,0,0,0,0
18057,1,1,1,1
18058,0,0,0,1
18059,0,1,1,1
18060,0,1,0,0
18061,0,0,0,1
18062,0,0,1,0
18063,1,0,1,1
18064,1,0,0,1
18065,0,0,1,1
18066,0,0,0,1
18067,0,0,1,1
18068,0,1,0,1
18069,0,0,0,0
18070,0,1,0,0
18071,1,1,1,1
18072,1,0,1,1
18073,0,1,1,1
18074,1,1,1,1
18075,0,1,0,0
18076,1,0,0,1
18077,0,0,1,1
18078,1,1,1,1
18079,0,0,0,1
18080,1,1,0,1
18081,0,1,1,1
18082,1,0,1,0
18083,0,1,1,0
18084,0,0,0,0
18085,1,1,1,1
18086,0,1,1,1
18087,1,0,0,1
18088,1,0,1,1
18089,0,0,0,1
18090,0,0,0,0
18091,1,0,0,1
18092,1,1,0,0
18093,1,0,0,0
18094,1,0,1,0
18095,1,0,0,1
18096,0,1,1,1
18097,0,1,0,0
18098,0,0,0,1
18099,0,0,1,1
18100,1,0,1,1
18101,1,1,1,1
18102,0,1,0,1
18103,0,1,0,0
18104,0,1,1,1
18105,1,1,1,1
18106,0,0,0,1
18107,1,1,1,1
18108,0,0,0,0
18109,1,0,0,1
18110,1,0,0,0
18111,1,1,0,1
18112,0,0,1,0
18113,1,0,0,0
18114,0,0,0,1
18115,0,0,0,0
18116,0,0,1,1
18117,1,0,0,1
18118,1,1,0,0
18119,1,0,0,0
18120,0,1,1,1
18121,0,1,1,1
18122,0,1,1,1
18123,0,1,0,0
18124,1,0,1,1
18125,1,1,1,1
18126,1,0,0,0
18127,0,1,1,0
18128,1,0,1,1
18129,0,1,1,1
18130,1,0,1,1
18131,0,0,0,0
18132,1,0,1,1
18133,1,0,1,1
18134,1,0,0,1
18135,1,1,0,1
18136,0,1,0,0
18137,0,1,1,1
18138,0,1,1,1
18139,0,0,1,1
18140,0,0,0,0
18141,0,0,0,1
18142,1,1,0,1
18143,1,1,0,0
18144,0,0,0,0
18145,0,1,1,1
18146,0,0,1,1
18147,0,1,1,1
18148,1,0,0,1
18149,0,0,0,0
18150,0,1,0,1
18151,0,0,1,1
18152,1,0,0,1
18153,1,1,1,1
18154,1,1,0,1
18155,1,0,0,0
18156,1,0,1,1
18157,0,1,1,1
18158,1,0,1,1
18159,0,0,0,0
18160,0,1,1,1
18161,0,0,1,0
18162,0,0,1,1
18163,1,1,1,1
18164,1,0,0,0
18165,0,0,1,0
18166,0,0,0,1
18167,0,1,0,1
18168,0,1,0,1
18169,0,1,0,0
18170,1,0,0,1
18171,0,1,0,1
18172,1,1,0,1
18173,1,1,0,1
18174,0,1,1,0
18175,0,0,1,1
18176,1,0,1,1
18177,1,1,0,1
18178,1,0,1,1
18179,0,1,0,0
18180,0,0,0,1
18181,1,1,0,1
18182,0,1,0,1
18183,0,0,1,1
18184,0,0,1,1
18185,0,1,1,1
18186,1,0,0,0
18187,1,1,0,1
18188,0,1,0,1
18189,0,1,1,1
18190,0,1,1,1
18191,0,1,1,1
18192,0,1,1,0
18193,1,0,0,1
18194,0,0,0,0
18195,0,0,1,1
18196,1,1,0,1
18197,1,0,0,1
18198,1,1,0,1
18199,1,1,1,1
18200,1,1,1,1
18201,1,0,0,0
18202,0,0,1,1
18203,1,1,0,1
18204,0,0,0,1
18205,0,1,0,0
18206,1,0,1,1
18207,1,0,1,1
18208,1,1,1,1
18209,0,1,1,1
18210,1,1,1,1
18211,1,1,0,0
18212,1,1,1,1
18213,1,1,1,1
18214,1,0,0,1
18215,0,0,0,0
18216,1,1,0,1
18217,0,0,1,1
18218,0,1,0,1
18219,1,0,1,1
18220,1,1,1,1
18221,1,0,1,1
18222,0,1,1,1
18223,1,0,1,1
18224,0,1,1,1
18225,0,0,0,1
18226,0,1,1,1
18227,0,1,1,1
18228,0,1,0,0
18229,1,1,1,1
18230,0,0,0,0
18231,0,0,1,0
18232,0,1,0,1
18233,0,0,1,1
18234,0,0,1,1
18235,1,1,0,1
18236,0,0,0,0
18237,1,0,1,1
18238,0,0,0,0
18239,1,0,0,0
18240,1,1,1,1
18241,0,0,0,1
18242,0,0,1,1
18243,0,0,0,0
18244,0,1,1,1
18245,0,1,1,1
18246,1,0,0,1
18247,1,1,1,1
18248,1,1,0,1
18249,1,1,1,1
18250,1,0,0,1
18251,1,0,1,1
18252,1,1,1,1
18253,1,1,0,1
18254,0,1,0,0
18255,1,0,1,1
18256,0,1,1,1
18257,0,1,1,1
18258,0,0,0,1
18259,0,0,0,0
18260,1,1,0,0
18261,1,1,0,0
18262,1,0,0,1
18263,0,0,0,1
18264,1,0,1,1
18265,1,0,1,1
18266,0,1,1,1
18267,0,1,1,1
18268,0,1,0,1
18269,1,0,1,1
18270,1,0,0,1
18271,0,1,1,1
18272,1,1,0,1
18273,1,1,0,1
18274,0,0,1,1
18275,0,1,1,1
18276,1,1,0,1
18277,0,0,0,1
18278,1,1,0,1
18279,0,1,0,1
18280,1,1,0,1
18281,0,0,0,0
18282,0,1,1,1
18283,1,0,0,1
18284,1,0,0,0
18285,1,0,0,1
18286,1,0,0,1
18287,0,1,1,1
18288,0,1,0,0
18289,0,0,0,1
18290,0,0,1,1
18291,1,1,1,1
18292,0,1,0,0
18293,0,1,1,1
18294,1,0,1,1
18295,0,0,0,1
18296,0,0,1,1
18297,0,0,1,1
18298,0,1,0,1
18299,1,0,1,1
18300,0,0,1,1
18301,1,1,0,1
18302,0,1,0,0
18303,0,0,1,1
18304,0,1,0,0
18305,1,0,1,1
18306,0,1,1,1
18307,1,0,0,1
18308,0,0,0,0
18309,0,1,1,1
18310,1,1,0,1
18311,1,1,1,1
18312,0,0,1,0
18313,1,0,0,0
18314,0,0,1,1
18315,1,0,1,1
18316,0,0,0,0
18317,0,0,0,1
18318,1,0,1,1
18319,0,1,0,0
18320,0,0,1,1
18321,0,0,0,0
18322,1,1,0,1
18323,0,1,1,1
18324,0,0,1,1
18325,0,1,1,1
18326,0,1,1,1
18327,0,1,0,1
18328,1,1,0,1
18329,0,0,1,0
18330,1,0,1,0
18331,1,0,1,1
18332,0,1,0,0
18333,1,1,0,1
18334,0,0,0,1
18335,0,0,1,1
18336,0,0,1,1
18337,0,0,1,1
18338,1,1,0,0
18339,1,0,0,1
18340,0,1,0,1
18341,0,1,1,1
18342,0,0,1,0
18343,0,0,1,1
18344,0,1,0,0
18345,0,0,0,0
18346,0,1,0,0
18347,1,1,0,1
18348,0,0,1,1
18349,0,1,0,1
18350,0,1,0,1
18351,1,1,1,1
18352,0,1,1,0
18353,0,1,1,1
18354,1,0,0,1
18355,1,1,0,1
18356,1,1,0,1
18357,1,0,1,1
18358,0,1,0,0
18359,0,0,1,1
18360,1,1,1,1
18361,0,1,0,1
18362,0,1,0,0
18363,1,1,1,1
18364,1,1,1,1
18365,0,0,0,1
18366,1,0,1,0
18367,1,1,0,1
18368,1,1,1,1
18369,0,1,0,1
18370,0,0,0,0
18371,0,0,0,0
18372,0,0,1,1
18373,0,0,0,0
18374,0,0,1,1
18375,0,1,0,1
18376,0,0,0,1
18377,0,0,0,0
18378,1,1,1,1
18379,1,1,0,1
18380,0,1,1,0
18381,1,1,0,1
18382,0,0,0,1
18383,1,0,1,1
18384,0,0,1,1
18385,0,1,1,1
18386,0,0,0,0
18387,1,1,0,1
18388,0,1,0,1
18389,1,1,1,1
18390,0,1,1,1
18391,1,1,0,1
18392,1,0,1,1
18393,1,1,1,1
18394,1,1,1,1
18395,1,1,1,1
18396,1,1,0,1
18397,0,1,1,1
18398,0,1,1,1
18399,1,1,1,1
18400,1,1,1,1
18401,1,0,0,1
18402,1,1,0,1
18403,0,0,1,1
18404,0,1,1,1
18405,1,1,0,0
18406,0,0,0,0
18407,0,1,0,0
18408,0,0,0,0
18409,1,0,1,1
18410,0,0,1,1
18411,1,0,0,1
18412,0,1,0,1
18413,0,0,1,1
18414,1,1,1,1
18415,1,1,0,1
18416,0,1,1,1
18417,0,0,1,1
18418,1,0,0,0
18419,0,0,1,1
18420,1,0,0,1
18421,0,0,0,0
18422,1,1,1,1
18423,1,0,0,1
18424,0,0,1,0
18425,1,1,0,1
18426,0,1,1,1
18427,0,1,1,1
18428,0,0,0,0
18429,1,1,1,1
18430,0,1,1,1
18431,0,0,0,1
18432,1,1,1,1
18433,1,0,1,1
18434,1,1,1,1
18435,1,0,1,1
18436,0,0,1,0
18437,0,0,1,1
18438,0,0,1,1
18439,0,0,0,1
18440,1,1,1,1
18441,0,1,1,1
18442,1,0,1,1
18443,1,0,1,1
18444,0,1,1,1
18445,1,1,1,1
